rpm,real_w,speed,target_current,real_pos,pos,I6,I7
-0.196051,0.082859,9.832693,-0.003054,0.001916,-0.004245,0.000000,0.000000
-0.195940,0.082988,9.832808,-0.011576,0.020025,-0.011702,0.000000,0.000000
-0.195845,0.083166,9.832987,-0.000923,0.010438,0.009604,0.000000,0.000000
-0.195794,0.083389,9.833159,-0.001988,0.009372,0.008538,0.000000,0.000000
-0.195800,0.083623,9.833384,-0.001988,0.009372,0.006408,0.000000,0.000000
-0.195821,0.083844,9.833581,0.020382,-0.000215,0.024517,0.000000,0.000000
-0.195816,0.084050,9.833739,0.005468,0.013633,0.001081,0.000000,0.000000
-0.195769,0.084352,9.834076,0.008664,-0.003411,-0.003180,0.000000,0.000000
-0.195616,0.084709,9.834372,-0.000923,0.007242,0.005343,0.000000,0.000000
-0.195402,0.085023,9.834624,-0.005184,-0.000215,-0.014898,0.000000,0.000000
-0.195333,0.085386,9.834883,0.019317,0.005111,0.023452,0.000000,0.000000
